id,name,occupation,hpi,birthyear,iso3,gdp_birth,gender,alive,dominio
18934,Muhammad,RELIGIOUS FIGURE,100.0,570.0,SAU,797.0,M,False,Poder y figuras públicas
3395,Gautama Buddha,PHILOSOPHER,99.481783,-566.0,NPL,641.0,M,False,Humanidades
14627,Isaac Newton,PHYSICIST,99.439201,1643.0,GBR,1725.0,M,False,Ciencia y tecnología
4848272,Donald Trump,POLITICIAN,99.267069,1946.0,USA,14822.467,M,True,Poder y figuras públicas
17414699,Genghis Khan,MILITARY PERSONNEL,98.434181,1162.0,MNG,677.0,M,False,Poder y figuras públicas
60827,Cleopatra,POLITICIAN,98.337383,-69.0,EGY,1116.0,F,False,Poder y figuras públicas
19379,Mahatma Gandhi,SOCIAL ACTIVIST,97.707933,1869.0,IND,855.1111111111111,M,False,Poder y figuras públicas
1687680,Pope Francis,RELIGIOUS FIGURE,97.042983,1936.0,ARG,6236.0,M,False,Poder y figuras públicas
73513,"Mary, mother of Jesus",RELIGIOUS FIGURE,96.936305,-100.0,ISR,1116.0,F,False,Poder y figuras públicas
17914,Ludwig van Beethoven,COMPOSER,96.8901,1770.0,DEU,1709.996,M,False,Artes y espectáculo
18079,Leonardo da Vinci,INVENTOR,96.801826,1452.0,ITA,2530.373262,M,False,Ciencia y tecnología
308,Aristotle,PHILOSOPHER,96.252463,-384.0,GRC,1275.0,M,False,Humanidades
19334,Marco Polo,EXPLORER,96.207777,1254.0,ITA,2377.4197242068967,M,False,Negocios y exploración
10128,Elizabeth I of England,POLITICIAN,96.042419,1533.0,GBR,1725.0,F,False,Poder y figuras públicas
22954,Plato,PHILOSOPHER,95.935845,-427.0,GRC,1275.0,M,False,Humanidades
783,Alexander the Great,MILITARY PERSONNEL,95.634894,-356.0,GRC,1275.0,M,False,Poder y figuras públicas
31665644,Saint Peter,RELIGIOUS FIGURE,95.455494,-1.0,,,M,False,Poder y figuras públicas
13633,Homer,WRITER,95.41286,-800.0,GRC,1275.0,M,False,Humanidades
33163,Wolfgang Amadeus Mozart,COMPOSER,95.366832,1756.0,AUT,1941.0,M,False,Artes y espectáculo
69880,Napoleon,POLITICIAN,95.287743,1769.0,FRA,1690.6312,M,False,Poder y figuras públicas
29688374,Galileo Galilei,ASTRONOMER,95.07624,1564.0,ITA,2392.903616,M,False,Ciencia y tecnología
2731583,Adolf Hitler,POLITICIAN,94.988012,1889.0,AUT,3725.0,M,False,Poder y figuras públicas
5635,Christopher Columbus,EXPLORER,94.907907,1451.0,ITA,2529.9917,M,False,Negocios y exploración
25664190,Socrates,PHILOSOPHER,94.901124,-470.0,GRC,1275.0,M,False,Humanidades
736,Albert Einstein,PHYSICIST,94.826997,1879.0,DEU,3234.0,M,False,Ciencia y tecnología
14187,Henry VIII of England,NOBLEMAN,94.649076,1491.0,GBR,1632.0,M,False,Poder y figuras públicas
20408,Marie Curie,PHYSICIST,94.302002,1867.0,POL,1516.0,F,False,Ciencia y tecnología
1095706,Jesus,RELIGIOUS FIGURE,94.236051,-4.0,ISR,1116.0,M,False,Poder y figuras públicas
15992,Jimmy Carter,POLITICIAN,93.903276,1924.0,USA,11126.713,M,False,Poder y figuras públicas
39660,Pope Benedict XVI,RELIGIOUS FIGURE,93.896537,1927.0,DEU,6282.0,M,False,Poder y figuras públicas
323592,Nicolaus Copernicus,ASTRONOMER,93.78406,1473.0,POL,802.0,M,False,Ciencia y tecnología
15924,Julius Caesar,POLITICIAN,93.777536,-100.0,ITA,1407.0,M,False,Poder y figuras públicas
5823,Confucius,PHILOSOPHER,93.574957,-551.0,CHN,1225.107,M,False,Humanidades
21019,Michelangelo,PAINTER,93.544328,1475.0,ITA,2539.1491880000003,M,False,Artes y espectáculo
1844,Archimedes,MATHEMATICIAN,93.411157,-287.0,ITA,1407.0,M,False,Ciencia y tecnología
23275,Pythagoras,PHILOSOPHER,93.359732,-570.0,GRC,1275.0,M,False,Humanidades
32603,Vincent van Gogh,PAINTER,93.258266,1853.0,NLD,3704.0,M,False,Artes y espectáculo
19577,Moses,RELIGIOUS FIGURE,93.255134,-1393.0,EGY,1116.0,M,False,Poder y figuras públicas
11625,Fyodor Dostoevsky,WRITER,93.202117,1821.0,RUS,754.45245,M,False,Humanidades
29922,Thomas Jefferson,POLITICIAN,93.181084,1743.0,USA,2040.8098036363635,M,False,Poder y figuras públicas
13623554,Che Guevara,SOCIAL ACTIVIST,93.089165,1928.0,ARG,6840.0,M,False,Poder y figuras públicas
18553,Louis XIV of France,POLITICIAN,93.008697,1638.0,FRA,1505.8352,M,False,Poder y figuras públicas
1814,Adam Smith,ECONOMIST,92.990597,1723.0,GBR,2563.0,M,False,Humanidades
347105,Mother Teresa,SOCIAL ACTIVIST,92.983731,1910.0,MKD,2150.0,F,False,Poder y figuras públicas
9906294,Johann Sebastian Bach,COMPOSER,92.781625,1685.0,DEU,1644.4595,M,False,Artes y espectáculo
7567080,Martin Luther,RELIGIOUS FIGURE,92.768507,1483.0,DEU,1755.9738,M,False,Poder y figuras públicas
19914843,Ferdinand Magellan,EXPLORER,92.617648,1480.0,PRT,1270.4845387835185,M,False,Negocios y exploración
32897,William Shakespeare,WRITER,92.587866,1564.0,GBR,1843.0,M,False,Humanidades
23805,Pope John Paul II,RELIGIOUS FIGURE,92.563665,1920.0,POL,3000.0,M,False,Poder y figuras públicas
20076,Martin Luther King Jr.,SOCIAL ACTIVIST,92.494023,1929.0,USA,11954.235,M,False,Poder y figuras públicas
10823,Frédéric Chopin,COMPOSER,92.475538,1810.0,POL,709.2727272727273,M,False,Artes y espectáculo
14631,Immanuel Kant,PHILOSOPHER,92.346663,1724.0,RUS,754.45245,M,False,Humanidades
