iso3,region,study,wave,year,cat,pct,n
ALB,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,93.8,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,antecedentes,97.1,1000
ALB,Eastern Europe & Central Asia,EVS,5,2008,antecedentes,62.5,1488
ALB,Eastern Europe & Central Asia,WVS,3,1998,bebedores,83.0,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,bebedores,80.5,1000
ALB,Eastern Europe & Central Asia,EVS,5,2008,bebedores,56.8,1499
ALB,Eastern Europe & Central Asia,EVS,7,2018,bebedores,82.5,1430
ALB,Eastern Europe & Central Asia,EVS,5,2008,cristianos,25.7,1403
ALB,Eastern Europe & Central Asia,EVS,7,2018,cristianos,2.8,1427
ALB,Eastern Europe & Central Asia,WVS,3,1998,drogadictos,83.1,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,drogadictos,84.6,1000
ALB,Eastern Europe & Central Asia,EVS,5,2008,drogadictos,60.8,1459
ALB,Eastern Europe & Central Asia,EVS,7,2018,drogadictos,90.2,1429
ALB,Eastern Europe & Central Asia,EVS,5,2008,extrema_derecha,42.8,1415
ALB,Eastern Europe & Central Asia,EVS,5,2008,extrema_izquierda,43.7,1402
ALB,Eastern Europe & Central Asia,WVS,3,1998,extremistas,66.7,999
ALB,Eastern Europe & Central Asia,EVS,5,2008,familias_numerosas,31.3,1428
ALB,Eastern Europe & Central Asia,EVS,5,2008,gitanos,41.1,1424
ALB,Eastern Europe & Central Asia,EVS,7,2018,gitanos,8.4,1425
ALB,Eastern Europe & Central Asia,WVS,3,1998,homosexuales,70.0,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,homosexuales,82.6,1000
ALB,Eastern Europe & Central Asia,EVS,5,2008,homosexuales,55.4,1449
ALB,Eastern Europe & Central Asia,EVS,7,2018,homosexuales,76.6,1418
ALB,Eastern Europe & Central Asia,WVS,3,1998,inestables,57.7,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,inestables,60.5,1000
ALB,Eastern Europe & Central Asia,EVS,5,2008,inestables,39.9,1446
ALB,Eastern Europe & Central Asia,WVS,3,1998,inmigrantes,10.2,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,inmigrantes,16.5,1000
